name,NetMF_1,NetMF_2,NetMF_3,NetMF_4,NetMF_5,NetMF_6,NetMF_7,NetMF_8,NetMF_9,NetMF_10,NetMF_11,NetMF_12,NetMF_13,NetMF_14,NetMF_15,NetMF_16,NetMF_17,NetMF_18,NetMF_19,NetMF_20,NetMF_21,NetMF_22,NetMF_23,NetMF_24,NetMF_25,NetMF_26,NetMF_27,NetMF_28,NetMF_29,NetMF_30,NetMF_31,NetMF_32
ENSG00000171105,573.63873,-42.261604,138.35928,106.726234,6.131589,-6.5696387,-8.248483,-5.6476254,11.66263,15.043182,8.379078,-13.195836,-0.9619128,8.216035,2.3086784,7.4914603,-13.835726,2.5787086,-8.665577,-2.9763253,-8.401283,1.6792563,-10.32852,21.800215,-4.7986603,14.209567,-6.1026435,-1.3208957,-10.99002,8.647181,-2.2061691,-8.43091
ENSG00000104205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173517,361.82535,-43.470463,88.97133,-50.067673,-18.693386,38.122753,-2.977912,-70.42334,-25.990122,79.19976,35.556778,-71.75867,-3.022111,-13.266079,1.8438971,22.15485,-28.13152,-10.360031,-32.352253,-49.722473,-6.4806952,-17.440321,-2.298306,-22.507137,12.101684,-4.6706185,-20.126596,34.560238,22.003393,9.171111,13.335162,23.344578
ENSG00000104312,697.6393,40.485588,25.722036,126.27881,-30.534664,-0.049611673,12.375065,56.36298,-30.241821,38.57243,17.973372,23.172138,44.698006,-7.6044617,18.112694,0.08265416,-22.912374,-29.299313,13.592327,-2.3362715,15.133698,-3.5078263,-34.51672,5.9217186,2.9672697,37.670883,-27.889717,-12.685882,12.003017,2.508122,5.1826286,-5.5044913
ENSG00000174292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104375,507.4612,-53.774467,25.531013,39.829865,-12.766317,14.295849,12.891254,-36.65986,-0.9583654,-16.295448,-1.3131802,5.52057,-5.7092752,-32.118664,-6.629051,-3.8419585,20.413054,26.626951,-21.890747,-4.4662876,0.23505566,-11.068108,2.2425914,35.62801,2.7306826,27.248846,24.757946,8.324807,45.030334,-6.8528347,-8.515435,-20.754227
ENSG00000176105,649.0365,-64.10805,39.879097,112.1732,14.145367,2.3988657,-27.574644,-9.020181,-21.03551,8.882668,-19.33177,-2.6699543,21.425917,-18.246422,36.004658,21.930185,-10.782493,-21.800478,-12.272763,-17.40459,-22.234303,-7.4073887,-5.4601583,16.219666,-6.037965,-2.4828396,-6.1552334,6.9609385,-2.1055229,-11.464696,-6.293714,12.73812
ENSG00000104814,507.731,-51.344784,82.04196,36.447495,-20.742233,-12.5278225,9.259393,-29.47751,-23.138302,13.476723,-26.398834,32.567932,23.4456,-49.026314,-29.66301,30.34913,2.415414,10.712626,-1.3689458,-15.301665,9.948869,14.3487215,-13.130758,-1.0221134,2.3169506,-34.08478,7.6132827,6.897868,-17.796232,-1.8115324,4.381748,-1.2293196
ENSG00000176444,504.03397,-59.13878,-7.5961466,42.92153,-22.884592,-30.508669,-4.6670613,-46.958504,-15.01929,10.730688,-9.212521,21.642473,15.422301,-36.12971,6.6551766,30.38284,1.6972558,-14.499713,-45.10028,-8.142865,-18.25522,60.61714,7.5865784,-11.793267,4.99596,13.203106,31.258339,-12.413405,-4.41966,4.167804,-0.25495183,15.315395
ENSG00000104936,476.51755,-56.57651,52.43551,-16.012972,-33.84266,-19.541376,29.893812,-55.716537,-27.134468,4.491961,-40.85115,42.449997,50.564804,-47.232635,-5.6391945,13.399374,35.320705,-16.26904,4.5881586,13.67093,14.519256,17.928,-5.973428,22.149628,-10.206802,-29.469515,16.558046,4.077346,34.333157,-8.292397,-7.014215,-0.5126455
