"most_freq"	"count_E"	"count_aE"	"count_aNE"	"count_NE"
"A1BG"	"aNE"	0	0	22	8
"A1CF"	"aNE"	0	0	19	11
"A2M"	"aNE"	0	0	18	12
"A2ML1"	"NE"	0	0	10	20
"A3GALT2"	"aNE"	0	0	26	4
"A4GALT"	"aNE"	0	0	17	13
"A4GNT"	"aNE"	0	0	23	7
"AAAS"	"aNE"	0	1	28	1
"AACS"	"aNE"	0	0	25	5
"AADAC"	"NE"	0	0	10	20
"AADACL2"	"aNE"	0	0	17	13
"AADACL3"	"NE"	0	0	13	17
"AADACL4"	"NE"	0	0	9	21
"AADAT"	"aNE"	0	0	27	3
"AAGAB"	"NE"	0	0	9	21
"AAK1"	"aNE"	0	0	29	1
"AAMDC"	"aNE"	0	0	28	2
"AAMP"	"aE"	12	18	0	0
"AANAT"	"aNE"	0	0	29	1
"AAR2"	"aNE"	0	0	17	13
"AARD"	"aNE"	0	0	28	2
"AARS1"	"E"	30	0	0	0
"AARS2"	"aNE"	0	9	21	0
"AARSD1"	"aNE"	0	0	29	1
"AASDH"	"aNE"	0	0	20	10
"AASDHPPT"	"aNE"	0	7	22	1
"AASS"	"NE"	0	0	13	17
"AATF"	"aE"	10	19	1	0
"AATK"	"aNE"	0	0	27	3
"ABAT"	"aNE"	0	0	22	8
"ABCA1"	"aNE"	0	0	21	9
"ABCA10"	"NE"	0	0	14	16
"ABCA12"	"aNE"	0	0	26	4
"ABCA13"	"aNE"	0	0	23	7
"ABCA2"	"aNE"	0	0	23	7
"ABCA3"	"aNE"	0	0	17	13
"ABCA4"	"aNE"	0	1	28	1
"ABCA5"	"aNE"	0	0	19	11
"ABCA6"	"aNE"	0	0	17	13
"ABCA7"	"NE"	0	0	10	20
"ABCA8"	"aNE"	0	0	22	8
"ABCA9"	"aNE"	0	0	15	15
"ABCB1"	"aNE"	0	0	25	5
"ABCB10"	"aNE"	0	1	28	1
"ABCB11"	"aNE"	0	0	19	11
"ABCB4"	"aNE"	0	0	25	5
"ABCB5"	"aNE"	0	0	18	12
"ABCB6"	"aNE"	0	0	19	11
"ABCB7"	"E"	NA	NA	NA	NA
"ABCB8"	"aNE"	0	0	15	15
"ABCB9"	"aNE"	0	0	22	8
"ABCC1"	"NE"	0	0	12	18
"ABCC10"	"aNE"	0	0	29	1
"ABCC11"	"NE"	0	0	9	21
"ABCC12"	"NE"	0	0	4	26
"ABCC2"	"aNE"	0	0	20	10
"ABCC3"	"aNE"	0	0	17	13
"ABCC4"	"NE"	0	0	1	29
"ABCC5"	"aNE"	0	0	16	14
"ABCC6"	"aNE"	0	0	29	1
"ABCC8"	"NE"	0	0	13	17
"ABCC9"	"aNE"	0	0	18	12
"ABCD1"	"aNE"	NA	NA	NA	NA
"ABCD2"	"aNE"	0	0	27	3
"ABCD3"	"aNE"	0	0	27	3
"ABCD4"	"aNE"	0	0	27	3
"ABCE1"	"E"	30	0	0	0
"ABCF1"	"E"	29	1	0	0
"ABCF2"	"aNE"	0	0	29	1
"ABCF3"	"NE"	0	0	11	19
"ABCG1"	"aNE"	0	0	30	0
"ABCG2"	"NE"	0	0	10	20
"ABCG4"	"NE"	0	0	8	22
"ABCG5"	"aNE"	0	0	17	13
"ABCG8"	"NE"	0	0	14	16
"ABHD1"	"aNE"	0	0	19	11
"ABHD10"	"aNE"	0	0	19	11
"ABHD11"	"aNE"	0	9	21	0
"ABHD12"	"aNE"	0	0	15	15
"ABHD12B"	"NE"	0	0	10	20
"ABHD13"	"aNE"	0	0	28	2
"ABHD14A"	"aNE"	0	0	18	12
"ABHD14B"	"NE"	0	0	14	16
"ABHD15"	"aNE"	0	1	25	4
"ABHD16A"	"NE"	0	0	14	16
"ABHD16B"	"NE"	0	0	14	16
"ABHD17A"	"aE"	0	22	8	0
