"most_freq"	"count_E"	"count_aE"	"count_aNE"	"count_NE"
"ABHD17B"	"NE"	0	0	14	16
"ABHD17C"	"NE"	0	0	6	24
"ABHD18"	"NE"	0	0	9	21
"ABHD2"	"aNE"	0	0	19	11
"ABHD3"	"aNE"	0	0	29	1
"ABHD4"	"NE"	0	0	6	24
"ABHD5"	"NE"	0	0	8	22
"ABHD6"	"NE"	0	0	10	20
"ABHD8"	"NE"	0	0	13	17
"ABI1"	"aNE"	0	0	21	9
"ABI2"	"NE"	0	0	11	19
"ABI3"	"aNE"	0	0	19	11
"ABI3BP"	"aNE"	0	0	17	13
"ABITRAM"	"aNE"	0	0	18	12
"ABL1"	"NE"	0	1	14	15
"ABL2"	"NE"	0	0	10	20
"ABLIM1"	"NE"	0	0	4	26
"ABLIM2"	"aNE"	0	0	18	12
"ABLIM3"	"aNE"	0	0	15	15
"ABR"	"aNE"	0	0	25	5
"ABRA"	"aNE"	0	0	19	11
"ABRACL"	"NE"	0	0	13	17
"ABRAXAS1"	"aNE"	0	1	27	2
"ABRAXAS2"	"NE"	0	0	4	26
"ABT1"	"aE"	12	18	0	0
"ABTB1"	"NE"	0	0	3	27
"ABTB2"	"aNE"	0	0	17	13
"ACAA1"	"aNE"	0	0	16	14
"ACAA2"	"aNE"	0	0	16	14
"ACACA"	"aNE"	0	10	20	0
"ACACB"	"aNE"	0	0	24	6
"ACAD10"	"aNE"	0	0	25	5
"ACAD11"	"NE"	0	0	12	18
"ACAD8"	"aNE"	0	0	15	15
"ACAD9"	"aNE"	0	1	28	1
"ACADL"	"aNE"	0	0	16	14
"ACADM"	"NE"	0	0	13	17
"ACADS"	"aNE"	0	0	20	10
"ACADSB"	"aNE"	0	0	23	7
"ACADVL"	"aNE"	0	0	18	12
"ACAN"	"aNE"	0	0	26	4
"ACAP1"	"aNE"	0	0	17	13
"ACAP2"	"NE"	0	0	14	16
"ACAP3"	"aNE"	0	0	29	1
"ACAT1"	"NE"	0	0	10	20
"ACAT2"	"NE"	0	1	4	25
"ACBD3"	"aNE"	0	0	17	13
"ACBD4"	"aNE"	0	0	26	4
"ACBD5"	"NE"	0	0	6	24
"ACBD6"	"NE"	0	0	14	16
"ACBD7"	"NE"	0	0	11	19
"ACCS"	"NE"	0	0	11	19
"ACCSL"	"aNE"	0	0	19	11
"ACD"	"aNE"	0	6	24	0
"ACE"	"aNE"	0	0	24	6
"ACE2"	"NE"	NA	NA	NA	NA
"ACER1"	"aNE"	0	0	28	2
"ACER2"	"aNE"	0	0	24	6
"ACER3"	"NE"	0	0	9	21
"ACHE"	"aNE"	0	0	27	3
"ACIN1"	"aE"	2	15	13	0
"ACKR1"	"aNE"	0	0	18	12
"ACKR2"	"NE"	0	0	14	16
"ACKR3"	"NE"	0	0	7	23
"ACKR4"	"aNE"	0	1	28	1
"ACLY"	"aE"	2	15	13	0
"ACMSD"	"NE"	0	0	3	27
"ACO1"	"aNE"	0	1	21	8
"ACO2"	"aNE"	3	4	23	0
"ACOD1"	"NE"	0	0	11	19
"ACOT1"	"NE"	0	0	5	25
"ACOT11"	"aNE"	0	0	22	8
"ACOT12"	"aNE"	0	3	26	1
"ACOT13"	"aNE"	0	0	17	13
"ACOT2"	"aNE"	0	0	18	12
"ACOT4"	"aNE"	0	0	21	9
"ACOT6"	"aNE"	0	0	21	9
"ACOT7"	"NE"	0	0	10	20
"ACOT8"	"NE"	0	0	12	18
"ACOT9"	"NE"	NA	NA	NA	NA
"ACOX1"	"aNE"	0	2	27	1
"ACOX2"	"aNE"	0	0	27	3
"ACOX3"	"NE"	0	0	9	21
"ACOXL"	"aNE"	0	0	30	0
"ACP1"	"NE"	0	0	2	28
"ACP2"	"NE"	0	0	13	17
"ACP3"	"aNE"	0	0	15	15
"ACP4"	"NE"	0	0	8	22
"ACP5"	"NE"	0	0	13	17
"ACP6"	"aNE"	0	0	19	11
"ACP7"	"aNE"	0	0	25	5
"ACR"	"aNE"	0	1	27	2
"ACRBP"	"aNE"	0	0	19	11
"ACRV1"	"NE"	0	0	2	28
"ACSBG1"	"aNE"	0	0	17	13
"ACSBG2"	"aNE"	0	0	15	15
"ACSF2"	"aNE"	0	0	30	0
"ACSF3"	"NE"	0	0	4	26
"ACSL1"	"aNE"	0	0	19	11
"ACSL3"	"aNE"	0	6	24	0
"ACSL4"	"aNE"	NA	NA	NA	NA
"ACSL5"	"aNE"	0	0	20	10
"ACSL6"	"aNE"	0	0	24	6
"ACSM1"	"aNE"	0	0	17	13
"ACSM2A"	"NE"	0	0	8	22
"ACSM3"	"aNE"	0	0	21	9
"ACSM4"	"NE"	0	0	10	20
"ACSM5"	"aNE"	0	0	17	13
"ACSM6"	"aNE"	0	0	20	10
"ACSS1"	"NE"	0	0	11	19
"ACSS2"	"NE"	0	0	1	29
"ACSS3"	"NE"	0	0	10	20
"ACTA1"	"aNE"	0	0	27	3
"ACTA2"	"aNE"	0	0	16	14
"ACTB"	"aE"	2	15	12	1
"ACTBL2"	"NE"	0	0	7	23
"ACTC1"	"aNE"	0	0	15	15
"ACTG1"	"aE"	3	23	4	0
"ACTG2"	"NE"	0	0	14	16
"ACTL10"	"NE"	0	0	10	20
"ACTL6A"	"E"	25	5	0	0
"ACTL6B"	"NE"	0	0	12	18
"ACTL7A"	"aNE"	0	0	26	4
"ACTL7B"	"NE"	0	0	13	17
"ACTL8"	"aNE"	0	0	19	11
"ACTL9"	"NE"	0	0	12	18
"ACTN1"	"aNE"	0	0	26	4
"ACTN2"	"NE"	0	0	13	17
"ACTN4"	"aNE"	0	0	16	14
"ACTR10"	"E"	26	4	0	0
"ACTR1A"	"aE"	5	22	3	0
"ACTR1B"	"aNE"	0	3	26	1
"ACTR2"	"E"	23	7	0	0
"ACTR3"	"aNE"	0	12	18	0
"ACTR3B"	"NE"	0	0	12	18
"ACTR5"	"aNE"	0	1	28	1
"ACTR6"	"aE"	6	19	4	1
"ACTR8"	"aE"	8	21	1	0
"ACTRT1"	"NE"	NA	NA	NA	NA
"ACTRT2"	"NE"	0	0	2	28
"ACTRT3"	"aNE"	0	0	26	4
"ACVR1"	"NE"	0	0	12	18
"ACVR1B"	"aNE"	0	0	22	8
"ACVR1C"	"aNE"	0	0	17	13
"ACVR2A"	"aNE"	0	0	26	4
"ACVR2B"	"NE"	0	0	14	16
"ACVRL1"	"NE"	0	0	11	19
"ACY1"	"NE"	0	0	8	22
"ACY3"	"aNE"	0	0	22	8
"ACYP1"	"aNE"	0	0	18	12
"ACYP2"	"NE"	0	0	11	19
"ADA"	"aNE"	0	0	22	8
"ADA2"	"NE"	0	0	9	21
"ADAD1"	"NE"	0	0	6	24
"ADAD2"	"aNE"	0	0	19	11
"ADAL"	"aNE"	0	0	19	11
"ADAM10"	"aNE"	0	0	15	15
"ADAM11"	"aNE"	0	4	25	1
"ADAM12"	"aNE"	0	0	16	14
"ADAM15"	"NE"	0	0	14	16
"ADAM17"	"aNE"	0	0	15	15
"ADAM18"	"NE"	0	0	0	30
"ADAM19"	"NE"	0	0	8	22
"ADAM2"	"aNE"	0	0	18	12
"ADAM20"	"NE"	0	0	2	28
"ADAM21"	"aNE"	0	0	20	10
"ADAM22"	"aNE"	0	0	21	9
"ADAM23"	"aNE"	0	0	20	10
"ADAM28"	"NE"	0	0	5	25
"ADAM29"	"aNE"	0	0	15	15
"ADAM30"	"aNE"	0	0	28	2
"ADAM32"	"NE"	0	0	7	23
"ADAM33"	"aNE"	0	0	24	6
"ADAM7"	"aNE"	0	0	15	15
"ADAM8"	"NE"	0	0	3	27
"ADAM9"	"aNE"	0	0	15	15
"ADAMDEC1"	"NE"	0	0	7	23
"ADAMTS1"	"aNE"	0	0	25	5
"ADAMTS10"	"aNE"	0	0	25	5
"ADAMTS12"	"NE"	0	0	13	17
"ADAMTS13"	"aNE"	0	0	26	4
"ADAMTS14"	"aNE"	0	0	17	13
"ADAMTS15"	"aNE"	0	0	21	9
"ADAMTS16"	"NE"	0	0	5	25
"ADAMTS17"	"aNE"	0	0	17	13
"ADAMTS18"	"NE"	0	0	9	21
"ADAMTS19"	"NE"	0	0	7	23
"ADAMTS2"	"NE"	0	0	6	24
"ADAMTS20"	"aNE"	0	0	27	3
"ADAMTS3"	"aNE"	0	0	28	2
"ADAMTS4"	"aNE"	0	0	28	2
"ADAMTS5"	"NE"	0	0	13	17
"ADAMTS6"	"NE"	0	0	14	16
"ADAMTS7"	"aNE"	0	2	26	2
"ADAMTS8"	"aNE"	0	0	16	14
"ADAMTS9"	"aNE"	0	0	19	11
"ADAMTSL1"	"NE"	0	0	8	22
"ADAMTSL2"	"aNE"	0	0	16	14
"ADAMTSL3"	"NE"	0	0	8	22
"ADAMTSL4"	"aNE"	0	2	28	0
"ADAMTSL5"	"aNE"	0	0	28	2
"ADAP1"	"aNE"	0	0	16	14
"ADAP2"	"aNE"	0	0	27	3
"ADAR"	"aNE"	0	9	21	0
"ADARB1"	"aNE"	0	0	17	13
"ADARB2"	"NE"	0	0	9	21
"ADAT1"	"aNE"	0	0	17	13
"ADAT2"	"aNE"	0	10	19	1
"ADAT3"	"aNE"	0	10	20	0
"ADCK1"	"NE"	0	0	8	22
"ADCK2"	"aNE"	0	0	24	6
"ADCK5"	"aNE"	0	0	26	4
"ADCY1"	"NE"	0	0	14	16
"ADCY10"	"aNE"	0	0	19	11
"ADCY2"	"NE"	0	0	3	27
"ADCY3"	"aNE"	0	0	30	0
"ADCY4"	"aNE"	0	0	27	3
"ADCY5"	"NE"	0	0	14	16
"ADCY6"	"aNE"	0	0	23	7
"ADCY7"	"NE"	0	0	4	26
"ADCY8"	"aNE"	0	0	23	7
"ADCY9"	"NE"	0	0	14	16
"ADCYAP1"	"NE"	0	0	3	27
"ADCYAP1R1"	"aNE"	0	0	18	12
"ADD1"	"NE"	0	0	11	19
"ADD2"	"aNE"	0	0	22	8
"ADD3"	"aNE"	0	0	15	15
"ADGRA1"	"aNE"	0	0	16	14
"ADGRA2"	"NE"	0	0	9	21
"ADGRA3"	"aNE"	0	0	28	2
"ADGRB1"	"aNE"	0	0	19	11
"ADGRB2"	"aNE"	0	0	25	5
"ADGRB3"	"aNE"	0	0	23	7
"ADGRD1"	"aNE"	0	0	26	4
"ADGRE1"	"aNE"	0	0	23	7
"ADGRE2"	"aNE"	0	0	25	5
"ADGRE3"	"aNE"	0	0	16	14
"ADGRE5"	"NE"	0	0	8	22
"ADGRF1"	"aNE"	0	0	16	14
"ADGRF3"	"aNE"	0	0	18	12
"ADGRF4"	"NE"	0	0	11	19
"ADGRF5"	"aNE"	0	0	27	3
"ADGRG1"	"aNE"	0	0	21	9
"ADGRG2"	"NE"	NA	NA	NA	NA
"ADGRG3"	"aNE"	0	0	27	3
"ADGRG4"	"NE"	NA	NA	NA	NA
"ADGRG5"	"NE"	0	1	9	20
"ADGRG6"	"NE"	0	0	3	27
"ADGRG7"	"NE"	0	0	14	16
"ADGRL1"	"NE"	0	0	12	18
"ADGRL2"	"aNE"	0	0	17	13
"ADGRL3"	"aNE"	0	0	20	10
"ADGRL4"	"NE"	0	0	9	21
"ADGRV1"	"NE"	0	0	10	20
"ADH1A"	"aNE"	0	0	16	14
"ADH1B"	"aNE"	0	0	22	8
"ADH4"	"aNE"	0	0	19	11
"ADH5"	"aNE"	0	3	26	1
"ADH6"	"aNE"	0	0	16	14
"ADH7"	"NE"	0	0	11	19
"ADHFE1"	"aNE"	0	0	27	3
"ADI1"	"aNE"	0	0	16	14
"ADIG"	"aNE"	0	0	21	9
"ADIPOQ"	"NE"	0	0	8	22
"ADIPOR1"	"NE"	0	0	11	19
"ADIPOR2"	"aNE"	0	0	18	12
"ADIRF"	"aNE"	0	0	23	7
"ADK"	"aNE"	0	0	26	4
"ADM"	"NE"	0	0	9	21
"ADM2"	"NE"	0	0	7	23
"ADM5"	"aNE"	0	0	23	7
"ADNP"	"aNE"	0	1	28	1
"ADNP2"	"aNE"	0	0	17	13
"ADO"	"aNE"	0	0	22	8
"ADORA1"	"aNE"	0	0	25	5
"ADORA2A"	"aNE"	0	0	15	15
"ADORA2B"	"NE"	0	0	7	23
"ADPGK"	"aNE"	0	0	25	5
"ADPRH"	"aNE"	0	0	21	9
"ADPRHL1"	"aNE"	0	0	28	2
"ADPRM"	"NE"	0	0	14	16
"ADPRS"	"aNE"	0	0	30	0
"ADRA1A"	"NE"	0	0	5	25
"ADRA1B"	"NE"	0	0	13	17
"ADRA1D"	"NE"	0	0	13	17
"ADRA2A"	"aNE"	0	0	21	9
"ADRA2B"	"aNE"	0	0	23	7
"ADRA2C"	"NE"	0	0	10	20
"ADRB1"	"NE"	0	0	5	25
"ADRB2"	"aNE"	0	0	19	11
"ADRB3"	"NE"	0	0	13	17
"ADRM1"	"aNE"	0	3	26	1
"ADSL"	"aNE"	4	5	20	1
"ADSS1"	"aNE"	0	0	19	11
"ADSS2"	"aNE"	2	12	16	0
"ADTRP"	"NE"	0	0	12	18
"AEBP1"	"aNE"	0	0	27	3
"AEBP2"	"aNE"	0	0	19	11
"AEN"	"aNE"	0	0	16	14
"AFAP1"	"NE"	0	0	12	18
"AFAP1L1"	"aNE"	0	0	15	15
"AFAP1L2"	"aNE"	0	0	19	11
"AFDN"	"aNE"	0	2	28	0
"AFF1"	"NE"	0	0	11	19
"AFF2"	"NE"	NA	NA	NA	NA
"AFF3"	"aNE"	0	0	26	4
"AFF4"	"aNE"	0	0	26	4
"AFG1L"	"NE"	0	0	14	16
"AFG3L2"	"aE"	9	19	2	0
"AFM"	"NE"	0	0	5	25
"AFMID"	"aNE"	0	0	24	6
"AFP"	"aNE"	0	0	15	15
"AFTPH"	"NE"	0	0	14	16
"AGA"	"aNE"	0	0	18	12
"AGAP1"	"NE"	0	0	9	21
"AGAP2"	"aNE"	0	0	30	0
"AGAP3"	"NE"	0	0	13	17
"AGAP6"	"aE"	6	17	7	0
"AGBL1"	"NE"	0	0	9	21
"AGBL2"	"aNE"	0	0	17	13
"AGBL3"	"aNE"	0	0	30	0
"AGBL4"	"aNE"	0	0	27	3
"AGBL5"	"aNE"	0	0	27	3
"AGER"	"NE"	0	0	3	27
"AGFG1"	"NE"	0	0	10	20
"AGFG2"	"aNE"	0	0	24	6
"AGGF1"	"NE"	0	0	11	19
"AGK"	"aNE"	0	0	20	10
"AGL"	"aNE"	0	0	26	4
"AGMAT"	"aNE"	0	0	24	6
"AGMO"	"aNE"	0	0	19	11
"AGO1"	"aNE"	0	0	28	2
"AGO2"	"aNE"	0	0	25	5
"AGO3"	"aNE"	0	0	28	2
"AGO4"	"aNE"	0	0	25	5
"AGPAT1"	"aNE"	0	0	20	10
"AGPAT2"	"aNE"	0	0	25	5
"AGPAT3"	"aNE"	0	0	16	14
"AGPAT4"	"aNE"	0	0	16	14
"AGPAT5"	"NE"	0	0	5	25
"AGPS"	"NE"	0	0	11	19
"AGR2"	"aNE"	0	0	21	9
"AGR3"	"aNE"	0	0	21	9
"AGRN"	"aNE"	0	0	28	2
"AGRP"	"aNE"	0	0	20	10
"AGT"	"aNE"	0	0	17	13
"AGTPBP1"	"NE"	0	0	5	25
"AGTR1"	"aNE"	0	0	20	10
"AGTR2"	"aNE"	NA	NA	NA	NA
"AGTRAP"	"NE"	0	0	14	16
"AGXT"	"aNE"	0	0	23	7
"AGXT2"	"NE"	0	0	8	22
"AHCTF1"	"E"	21	9	0	0
"AHCY"	"aE"	2	17	11	0
"AHCYL1"	"aE"	4	16	10	0
"AHCYL2"	"aNE"	0	0	29	1
"AHDC1"	"aNE"	0	0	22	8
"AHI1"	"aNE"	0	0	27	3
"AHNAK"	"aNE"	0	0	27	3
"AHNAK2"	"NE"	0	0	11	19
"AHR"	"aNE"	0	0	20	10
"AHRR"	"aNE"	0	0	23	7
"AHSA1"	"aNE"	0	0	24	6
"AHSG"	"NE"	0	0	10	20
"AHSP"	"aNE"	0	0	21	9
"AICDA"	"NE"	0	0	2	28
"AIDA"	"aNE"	0	0	17	13
"AIF1"	"aNE"	0	0	30	0
"AIF1L"	"aNE"	0	0	23	7
"AIFM1"	"aNE"	NA	NA	NA	NA
"AIFM2"	"aNE"	0	0	19	11
"AIFM3"	"aNE"	0	0	18	12
"AIG1"	"aNE"	0	0	26	4
"AIM2"	"NE"	0	0	11	19
"AIMP1"	"aNE"	0	0	18	12
"AIMP2"	"aNE"	0	0	25	5
"AIP"	"aNE"	0	0	23	7
"AIPL1"	"aNE"	0	0	24	6
"AIRE"	"NE"	0	0	7	23
"AJAP1"	"NE"	0	0	12	18
"AJM1"	"aNE"	0	0	25	5
"AJUBA"	"aNE"	0	0	18	12
"AK1"	"aNE"	0	0	29	1
"AK2"	"aNE"	0	10	20	0
"AK3"	"aNE"	0	0	20	10
"AK4"	"aE"	0	16	14	0
"AK5"	"NE"	0	0	12	18
"AK6"	"E"	17	12	1	0
"AK7"	"NE"	0	0	13	17
"AK8"	"aNE"	0	0	27	3
"AK9"	"NE"	0	0	8	22
"AKAIN1"	"NE"	0	0	8	22
"AKAP1"	"aNE"	0	0	26	4
"AKAP10"	"aNE"	0	0	23	7
"AKAP11"	"aNE"	0	0	21	9
"AKAP12"	"aNE"	0	0	19	11
"AKAP13"	"NE"	0	0	14	16
"AKAP14"	"aNE"	NA	NA	NA	NA
"AKAP17A"	"aNE"	NA	NA	NA	NA
"AKAP3"	"aNE"	0	0	27	3
"AKAP4"	"NE"	NA	NA	NA	NA
"AKAP5"	"aNE"	0	0	20	10
"AKAP6"	"aNE"	0	0	25	5
"AKAP7"	"aNE"	0	0	15	15
"AKAP8"	"aNE"	0	0	21	9
"AKAP8L"	"aNE"	0	0	27	3
"AKAP9"	"aNE"	0	0	23	7
"AKIP1"	"aNE"	0	1	25	4
"AKIRIN1"	"aNE"	0	10	20	0
"AKIRIN2"	"E"	25	5	0	0
"AKNA"	"aNE"	0	0	17	13
"AKNAD1"	"aNE"	0	0	28	2
"AKR1A1"	"NE"	0	0	14	16
"AKR1B1"	"aNE"	0	0	17	13
"AKR1B10"	"aNE"	0	0	18	12
"AKR1B15"	"aE"	2	20	8	0
"AKR1C2"	"aNE"	0	0	19	11
"AKR1C3"	"aNE"	0	0	15	15
"AKR1C4"	"NE"	0	0	9	21
"AKR1D1"	"aNE"	0	1	24	5
"AKR1E2"	"NE"	0	0	9	21
"AKR7A2"	"aNE"	0	0	19	11
"AKR7A3"	"aNE"	0	0	28	2
"AKT1"	"aNE"	0	0	25	5
"AKT1S1"	"NE"	0	0	8	22
"AKT2"	"aNE"	0	0	23	7
"AKT3"	"NE"	0	0	14	16
"AKTIP"	"aNE"	0	7	22	1
"ALAD"	"aNE"	0	0	17	13
"ALAS1"	"aNE"	0	0	18	12
"ALAS2"	"NE"	NA	NA	NA	NA
"ALB"	"NE"	0	0	5	25
"ALCAM"	"aNE"	0	1	24	5
"ALDH16A1"	"NE"	0	0	10	20
"ALDH18A1"	"aNE"	0	0	25	5
"ALDH1A1"	"NE"	0	0	6	24
"ALDH1A2"	"aNE"	0	0	19	11
"ALDH1A3"	"NE"	0	0	8	22
"ALDH1B1"	"aNE"	0	0	23	7
"ALDH1L1"	"aNE"	0	0	16	14
"ALDH1L2"	"aNE"	0	0	26	4
"ALDH2"	"aNE"	0	0	16	14
"ALDH3A1"	"NE"	0	0	8	22
"ALDH3A2"	"NE"	0	0	12	18
"ALDH3B2"	"aNE"	0	0	19	11
"ALDH4A1"	"aNE"	0	0	19	11
"ALDH5A1"	"aNE"	0	0	18	12
"ALDH6A1"	"aNE"	0	0	23	7
"ALDH7A1"	"aNE"	0	0	23	7
"ALDH8A1"	"aNE"	0	0	26	4
"ALDH9A1"	"aNE"	0	0	19	11
"ALDOA"	"aE"	12	16	2	0
"ALDOB"	"aNE"	0	0	20	10
"ALDOC"	"aNE"	0	0	29	1
"ALG1"	"E"	16	12	2	0
"ALG10"	"aNE"	0	0	28	2
"ALG10B"	"aNE"	0	4	26	0
"ALG11"	"E"	28	2	0	0
"ALG12"	"aNE"	0	1	26	3
"ALG13"	"aE"	NA	NA	NA	NA
"ALG14"	"aE"	12	18	0	0
"ALG1L"	"E"	24	6	0	0
"ALG2"	"E"	23	7	0	0
"ALG3"	"aNE"	0	0	23	7
"ALG5"	"aNE"	0	7	23	0
"ALG6"	"aNE"	0	4	26	0
"ALG8"	"aNE"	0	8	22	0
"ALG9"	"aNE"	0	1	28	1
"ALK"	"aNE"	0	0	18	12
"ALKAL1"	"aNE"	0	0	21	9
"ALKAL2"	"NE"	0	0	8	22
"ALKBH1"	"aNE"	0	0	23	7
"ALKBH2"	"NE"	0	0	11	19
"ALKBH3"	"aNE"	0	0	22	8
"ALKBH4"	"aNE"	0	1	26	3
"ALKBH5"	"aNE"	0	0	18	12
"ALKBH6"	"aNE"	0	0	18	12
"ALKBH7"	"aNE"	0	0	18	12
"ALKBH8"	"aNE"	0	0	19	11
"ALLC"	"aNE"	0	0	24	6
"ALMS1"	"aNE"	0	0	30	0
"ALOX12"	"NE"	0	0	7	23
"ALOX12B"	"NE"	0	0	13	17
"ALOX15"	"NE"	0	0	14	16
"ALOX15B"	"NE"	0	0	12	18
"ALOX5"	"aNE"	0	0	30	0
"ALOX5AP"	"NE"	0	0	7	23
"ALOXE3"	"aNE"	0	0	23	7
"ALPG"	"aNE"	0	0	24	6
"ALPI"	"NE"	0	0	14	16
"ALPK1"	"NE"	0	0	13	17
"ALPK2"	"NE"	0	0	6	24
"ALPK3"	"aNE"	0	0	21	9
"ALPL"	"NE"	0	0	8	22
"ALPP"	"NE"	0	0	6	24
"ALS2"	"aNE"	0	0	15	15
"ALS2CL"	"aNE"	0	0	26	4
"ALX1"	"aNE"	0	0	18	12
"ALX3"	"aNE"	0	4	26	0
"ALX4"	"aNE"	0	0	21	9
"ALYREF"	"E"	16	14	0	0
"AMACR"	"NE"	0	0	14	16
"AMBN"	"aNE"	0	1	20	9
"AMBP"	"aNE"	0	0	16	14
"AMBRA1"	"aNE"	0	1	20	9
"AMD1"	"aE"	0	18	12	0
"AMDHD1"	"aNE"	0	0	25	5
"AMDHD2"	"aNE"	0	0	21	9
"AMELX"	"NE"	NA	NA	NA	NA
"AMER1"	"NE"	NA	NA	NA	NA
"AMER2"	"aNE"	0	1	27	2
"AMER3"	"aNE"	0	0	21	9
"AMFR"	"aNE"	0	0	25	5
"AMH"	"NE"	0	0	4	26
"AMHR2"	"NE"	0	0	10	20
"AMIGO1"	"aNE"	0	0	27	3
"AMIGO2"	"NE"	0	0	13	17
"AMIGO3"	"aNE"	0	0	19	11
"AMMECR1"	"aNE"	NA	NA	NA	NA
"AMMECR1L"	"aNE"	0	0	24	6
"AMN"	"aNE"	0	0	18	12
"AMN1"	"NE"	0	0	12	18
"AMOT"	"NE"	NA	NA	NA	NA
"AMOTL1"	"aNE"	0	0	15	15
"AMOTL2"	"NE"	0	0	8	22
"AMPD1"	"aNE"	0	0	27	3
"AMPD2"	"aNE"	0	0	18	12
"AMPD3"	"NE"	0	0	14	16
"AMPH"	"aNE"	0	0	23	7
"AMT"	"aNE"	0	0	18	12
"AMTN"	"NE"	0	0	5	25
"AMY2A"	"NE"	0	0	14	16
"AMZ1"	"aNE"	0	0	20	10
"AMZ2"	"aNE"	0	0	20	10
"ANAPC1"	"E"	30	0	0	0
"ANAPC10"	"E"	22	8	0	0
"ANAPC11"	"E"	30	0	0	0
"ANAPC13"	"aE"	0	15	15	0
"ANAPC15"	"aE"	3	19	7	1
"ANAPC16"	"aNE"	0	0	16	14
"ANAPC2"	"E"	30	0	0	0
"ANAPC4"	"E"	30	0	0	0
"ANAPC5"	"E"	30	0	0	0
"ANAPC7"	"aNE"	0	0	25	5
"ANG"	"aNE"	0	0	26	4
"ANGEL1"	"aNE"	0	0	19	11
"ANGEL2"	"aNE"	0	0	29	1
"ANGPT1"	"aNE"	0	0	21	9
"ANGPT2"	"NE"	0	0	13	17
"ANGPT4"	"NE"	0	0	3	27
"ANGPTL1"	"aNE"	0	0	21	9
"ANGPTL2"	"aNE"	0	0	16	14
