,source,target
1068371,RAN,THUMPD1
1068372,USO1,SNRNP70
1068373,SNRNP70,THUMPD1
1068374,RPL21,ANAPC2
1068375,MAP2K7,THUMPD1
1068376,COPS5,RBPJL
1068377,PCCB,EIF3M
1068378,USO1,MRPL47
1068379,USO1,RAD54L2
1068380,USO1,DLAT
1068381,USO1,HSPA2
1068382,USO1,FAH
1068383,USO1,OLA1
1068384,USO1,RPL30
1068385,USO1,GALNT2
1068386,POP4,KIF17
1068387,UBC,KIF23
1068388,KIF23,CYLD
1068389,KIF23,MUL1
1068390,PCCB,DDB1
1068391,RASGEF1B,SH3GL3
1068392,PRKAR1B,LSM12
1068393,EIF3D,USO1
1068394,APEX1,RMDN1
1068395,UMPS,RPL6
1068396,QDPR,PDHB
1068397,METTL9,CACFD1
1068398,RPL23,GTPBP2
1068399,SREK1IP1,GTPBP2
1068400,GTPBP2,RBMX2
1068401,PRCC,GTPBP2
1068402,GTPBP2,SEPSECS
1068403,GTPBP2,CWC22
1068404,ESS2,GTPBP2
1068405,DLG5,GTPBP2
1068406,GTPBP2,DTNA
1068407,NDUFB10,GTPBP2
1068408,GTPBP2,AP1M1
1068409,GTPBP2,MRPL4
1068410,SF3B2,GTPBP2
1068411,EIF2B1,GTPBP2
1068412,DLAT,WDR70
1068413,VPS39,WDR70
1068414,CCT5,CWC15
1068415,CLUAP1,EIF3K
1068416,CHTF8,RIC1
1068417,MLH1,RPL23
1068418,MLH1,NUCB2
1068419,NDC80,RPL9
1068420,NDC80,ADAR
1068421,PCNA,SHMT1
1068422,EEF2,RAD54L
1068423,PSMD7,RAD54L
1068424,SF3A1,SARM1
1068425,UMPS,MRPL12
1068426,WDR4,THUMPD1
1068427,OSTF1,THUMPD1
1068428,NUDT21,ITGB1BP2
1068429,PAH,SNX13
1068430,SIAH1,BAZ2B
1068431,UMPS,SPCS2
1068432,RPSA,NUDT2
1068433,JMJD6,COA8
1068434,ELOB,THUMPD1
1068435,RAD1,PANK4
1068436,RAD1,DLG5
1068437,RAD1,DAD1
1068438,RAD1,HAAO
1068439,RAD1,TCP1
1068440,RAD1,PSMB3
1068441,RAD1,ZFPL1
1068442,RAD1,ELOF1
1068443,RAD1,PAN3
1068444,RAD1,FAHD1
1068445,IK,THUMPD1
1068446,DBT,IK
1068447,CD2BP2,EEF1G
1068448,CD2BP2,RPL35
1068449,ACTR1A,PFDN2
1068450,AHCY,LRRC47
1068451,BUB3,DPP7
1068452,BUB3,RPL9
1068453,BUB3,NUP98
1068454,TDP2,COPS5
1068455,TDP2,SHMT1
1068456,TDP2,EXOSC8
1068457,TDP2,RPS8
1068458,TDP2,UQCRFS1
1068459,NACA,NACA
1068460,NACA,NACA
1068461,MAD2L1,MRPS30
1068462,PDHB,MAD2L1
1068463,MTHFR,MAD2L1
1068464,DLAT,MAD2L1
1068465,MYO1G,MAD2L1
1068466,MAD2L1,THUMPD1
1068467,PCCB,MMADHC
1068468,MTR,MMADHC
1068469,U2AF2,THUMPD1
1068470,AHCY,UBA52
1068471,PEX14,UBA52
1068472,UBA52,THUMPD1
1068473,CCDC47,DPP7
1068474,RANBP1,METTL16
1068475,PRKCSH,RPS7
1068476,NPEPL1,NPEPL1
1068477,SMAD9,COPS5
1068478,SMAD9,SLC39A9
1068479,BPNT1,RPL6
1068480,MYO1E,LARS2
1068481,SREK1IP1,PLEKHF2
1068482,HRAS,BTF3
1068483,PSMA3,THUMPD1
1068484,ATP5F1B,KLHL8
1068485,ATP5F1B,RPSA
1068486,ATP5F1B,ECHDC3
1068487,GOLGB1,GOLGB1
1068488,VPS51,VPS51
1068489,RAD51,HELQ
1068490,ENDOG,ENDOG
1068491,PSMA4,VPS39
1068492,PPM1K,FEM1B
1068493,CUL3,EIF3M
1068494,DDHD1,DDHD1
1068495,COG4,RUVBL2
1068496,SF3A1,BLZF1
1068497,VPS4B,NCAPH2
1068498,NUP155,DNAJA3
1068499,DLAT,CSE1L
1068500,HGS,COPS4
1068501,ACTR3,VPS39
1068502,PPP1R21,COG3
1068503,SEC13,COPS5
1068504,SEC13,VPS39
1068505,RPS7,VPS39
1068506,NUP98,DNAJA3
1068507,MCM6,LDHD
1068508,FBLN1,MCM6
1068509,XPO1,VPS39
1068510,ATP6V1F,VPS39
1068511,COPS5,NDC1
1068512,NDUFB10,PSMB1
1068513,CKS1B,EIF2B1
1068514,COG2,KXD1
1068515,DCTN2,COPS5
1068516,ATP5F1B,VPS39
1068517,MYL9,VPS39
1068518,HGS,SEC24D
1068519,EEF1G,VPS39
1068520,DNAJA3,DNAJA3
1068521,DLAT,PICK1
1068522,HIKESHI,COPS5
1068523,HIKESHI,HIKESHI
1068524,MAPK1,RBMX2
1068525,MAPK1,DNAJA3
1068526,MAPK1,PICK1
1068527,CIR1,RBMX2
1068528,CIR1,CIR1
1068529,RANBP1,NCAPH2
1068530,RANBP1,RANBP1
1068531,RAN,NCAPH2
1068532,NUP54,COPS5
1068533,USO1,NUP54
1068534,EIF2B1,ATP2A3
1068535,NUTF2,NCAPH2
1068536,NUP35,COPS5
1068537,DLAT,NUP35
1068538,PAH,NUP35
1068539,USO1,NUP35
1068540,EDC4,NUP35
1068541,EIF2B1,NUP35
1068542,SMARCB1,RBMX2
1068543,SMARCB1,LARS1
1068544,PAFAH1B1,COPS5
1068545,RFC4,PSMD13
1068546,NDUFS3,EIF2B1
1068547,HGS,HGS
1068548,UBC,HYPK
1068549,NDUFA9,STOML2
1068550,DNAJA2,SLC25A26
1068551,NDUFA2,SLC25A11
1068552,TIMM44,HSPA2
1068553,RPL23,RSL24D1
1068554,EEF1G,CDC5L
1068555,DCPS,ISYNA1
1068556,SND1,DPH5
1068557,PSMD7,NAA20
1068558,SMARCB1,SYMPK
1068559,GSS,RBKS
1068560,MRE11,ZRSR2
1068561,ACOX3,APRT
1068562,ATP5ME,NDUFA9
1068563,RPLP2,NOP58
