,source,target
1077836,EED,MMS19
1077837,WDR46,EED
1077838,EED,LTN1
1077839,EED,FERMT2
1077840,EED,CPSF3
1077841,EED,RHEB
1077842,EED,TBK1
1077843,EED,VPS25
1077844,AP3B1,EED
1077845,EED,MSH2
1077846,EED,RANGAP1
1077847,EED,PKP4
1077848,EED,SIRT2
1077849,EED,RAB2A
1077850,EED,SLC25A11
1077851,EED,NIP7
1077852,EED,NUDT16L1
1077853,EED,ITSN2
1077854,EED,AHSA1
1077855,EED,HUWE1
1077856,EED,ENY2
1077857,EED,NEK9
1077858,SYNJ1,EED
1077859,EED,DDX19A
1077860,EED,NEDD4
1077861,EED,TOMM20
1077862,VILL,EED
1077863,EED,RAB5A
1077864,EED,SNX6
1077865,EED,USP14
1077866,EED,TNPO3
1077867,EED,NAA25
1077868,EED,UMPS
1077869,EED,LYPLA1
1077870,EED,PMVK
1077871,EED,NFKB2
1077872,EED,KPNA1
1077873,EED,BRAF
1077874,EED,RPS6KA4
1077875,EED,PGK1
1077876,EED,DARS1
1077877,EED,FXR2
1077878,EED,CUL3
1077879,NKRF,EED
1077880,EED,UBE2N
1077881,EED,UNC45A
1077882,EED,VPS39
1077883,EED,GARS1
1077884,EED,ELOC
1077885,EED,FYTTD1
1077886,MAN1A2,EED
1077887,EED,EIF3L
1077888,EED,EIF3M
1077889,EIF3H,EED
1077890,EED,CPSF2
1077891,EED,TUBGCP3
1077892,EED,UGGT1
1077893,EED,PNN
1077894,EED,ARCN1
1077895,EED,EIF3G
1077896,EED,ACACA
1077897,EED,HYOU1
1077898,EED,TTN
1077899,CDIPT,EED
1077900,GAK,EED
1077901,AP3D1,EED
1077902,EED,XPO5
1077903,CNOT1,EED
1077904,EED,VPS51
1077905,PSMD12,EED
1077906,EED,RPL35A
1077907,EED,CDK1
1077908,EED,CNN3
1077909,EED,ARL2
1077910,EED,RIOX1
1077911,MGST3,EED
1077912,EED,IARS1
1077913,GET3,EED
1077914,EED,RPS6KA1
1077915,EED,TMCO1
1077916,EED,CNDP2
1077917,EED,NAA15
1077918,EED,BMP2K
1077919,EED,VPS13C
1077920,EED,PSMD5
1077921,EED,CHD7
1077922,EED,TUBG1
1077923,EED,USP10
1077924,UBA6,EED
1077925,EED,GLMN
1077926,EED,TBC1D9B
1077927,EED,SH3BP4
1077928,EED,RPL22L1
1077929,EED,NUP214
1077930,EED,DCTN5
1077931,EED,NRM
1077932,SNX3,EED
1077933,EED,RAB3IL1
1077934,AGRN,EED
1077935,EED,CPNE6
1077936,EED,SCFD1
1077937,EED,BAG6
1077938,EED,DHX36
1077939,EED,TRIM25
1077940,EED,PRKAA1
1077941,EED,SMU1
1077942,EED,IK
1077943,EED,BIRC6
1077944,EED,UBE2Z
1077945,EED,THADA
1077946,EED,SZT2
1077947,EED,HS1BP3
1077948,EED,EXOC2
1077949,EED,NHP2
1077950,EED,DERL2
1077951,EED,RAB3GAP1
1077952,EED,NCOA5
1077953,EED,ZSCAN26
1077954,EED,DCAKD
1077955,EED,COX15
1077956,EED,RFC4
1077957,EED,AP1M1
1077958,EED,PAK2
1077959,EED,SLC25A22
1077960,EED,PEG3
1077961,EED,RBM5
1077962,EED,UBE3C
1077963,EED,PSMC2
1077964,EED,HSD17B11
1077965,EED,UAP1L1
1077966,EED,NDST4
1077967,EED,SHROOM3
1077968,EED,ISG20L2
1077969,EED,DRG2
1077970,EED,BZW1
1077971,EED,PSPH
1077972,PSMD11,EED
1077973,EED,MAP2K3
1077974,EED,COMMD3
1077975,EED,UQCR10
1077976,EED,PPM1F
1077977,EED,GPX4
1077978,EED,GMPS
1077979,EED,RRS1
1077980,EED,PTPN14
1077981,EED,FUS
1077982,EED,RTCB
1077983,EED,COPS8
1077984,EED,TUFM
1077985,EED,PTK2B
1077986,CLUH,EED
1077987,EED,VPS11
1077988,EED,RAB3GAP2
1077989,EED,CUL7
1077990,EED,LAMTOR1
1077991,EED,PCM1
1077992,EED,FAR1
1077993,CHL1,EED
1077994,EED,UBA2
1077995,EED,ATP6V1C1
1077996,EED,PNPLA6
1077997,EED,MAP2K1
1077998,EED,LRPPRC
1077999,EED,NSUN5
1078000,EED,PIGR
1078001,EED,LZTS2
1078002,EED,BPNT1
1078003,EED,GET4
1078004,EED,SNX12
1078005,EED,TMEM11
1078006,EED,NOP10
1078007,EED,IMPDH2
1078008,EED,STOM
1078009,EED,CUL2
1078010,EED,RRP15
1078011,EED,TASOR2
1078012,EED,GAPVD1
1078013,EED,UTP18
1078014,EED,DCAF1
1078015,EED,GUCY2D
1078016,EED,EPN1
1078017,PALM3,EED
1078018,EED,NOP14
1078019,EED,SGPL1
1078020,EED,TTC21B
1078021,EIF5B,EED
1078022,EED,ORC1
1078023,EED,METAP2
1078024,EED,ETF1
1078025,XIRP2,EED
1078026,PEX1,EED
1078027,EED,TARS2
1078028,EED,FBXO46
1078029,EED,SNX8
1078030,EED,HEATR3
1078031,EED,PSMG2
1078032,EED,CDC42BPG
1078033,EED,GOLPH3
1078034,EED,KRR1
1078035,SURF4,EED
1078036,EED,AGK
1078037,PSMD3,EED
1078038,EED,UBE4B
1078039,EED,TANC1
1078040,EED,NDC1
1078041,EED,FTO
1078042,EED,PPP2R2A
1078043,EED,MT-ATP8
1078044,OGT,EED
1078045,EED,PDLIM7
1078046,EED,HERC2
1078047,EED,NUMB
1078048,EED,ATP6V1H
1078049,EED,GSK3B
1078050,EED,TSEN15
1078051,EED,NDUFA8
1078052,EED,TXN
1078053,EED,IMPA1
1078054,EED,TTC27
1078055,EED,RNPEP
1078056,EED,ACTR10
1078057,EED,VPS18
1078058,EED,LGMN
1078059,EED,TWF2
1078060,TXNL1,EED
1078061,EED,PIP4K2C
1078062,EED,POLR2H
1078063,SART1,EED
1078064,EED,NDUFA6
1078065,EED,MZT1
1078066,EED,DROSHA
1078067,EED,TFIP11
1078068,EED,HIGD1A
1078069,EED,TIMM50
1078070,EED,TBC1D31
1078071,EED,HACD2
1078072,EED,TMEM14C
1078073,EED,RNPS1
1078074,EED,FKBP10
1078075,EED,VPS53
1078076,EED,NSD1
1078077,EED,GPAM
1078078,EED,MOGS
1078079,EED,PSMA5
1078080,ZW10,EED
1078081,EED,VPS41
1078082,"cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier",EED
1078083,EED,STK4
1078084,EED,DBT
1078085,EED,STK26
1078086,EED,SEC61A1
1078087,EED,TENT2
1078088,KPNA4,EED
1078089,EED,IPO7
1078090,EED,KIF5B
1078091,EED,SSR3
1078092,EED,TECR
1078093,EED,ABCD3
1078094,EED,OLA1
1078095,EED,NDUFA13
1078096,EED,BAG2
1078097,EED,GNL1
1078098,EED,LSR
1078099,EED,CACYBP
1078100,TIMM17B,EED
1078101,EED,PPP2R5C
1078102,EED,LSM5
1078103,ARPC1B,EED
1078104,EED,SLC16A1
1078105,EED,NXN
1078106,EED,XPO7
1078107,EED,ARPC5L
1078108,EED,SFTPD
1078109,EED,RHEBL1
1078110,EED,ANKFY1
1078111,EED,GAS2L3
1078112,EED,EIF3K
1078113,EED,FARSA
1078114,P4HA2,EED
1078115,EED,PAICS
1078116,EED,USP5
1078117,EED,DDX41
1078118,EED,EPS8L2
1078119,EED,CAPN1
1078120,EED,NRK
1078121,EED,SSB
1078122,EED,MYCBP2
1078123,EED,SUN2
1078124,EED,KNTC1
1078125,EED,KIF2C
1078126,EED,COX6C
1078127,EED,CTPS1
1078128,EED,VPS35L
1078129,EED,RRM1
1078130,EED,OTUB1
1078131,EED,KIF17
1078132,EED,ELP1
1078133,ACSL4,EED
1078134,EED,LIMCH1
1078135,EED,PPP1R9B
1078136,EED,TOMM70
1078137,EED,FAF1
1078138,EED,PRKAG1
1078139,EED,PSMC4
1078140,PLXNB2,EED
1078141,EED,CTTN
1078142,EED,CGN
1078143,EED,SNX18
1078144,EED,HCN3
1078145,EED,CBLB
1078146,EED,VPS16
1078147,EED,UNC45B
1078148,EED,NAPA
1078149,EED,ANXA7
1078150,EED,CGNL1
1078151,ARPC2,EED
1078152,EED,CKB
1078153,EED,CTU1
1078154,EED,DMXL1
1078155,EED,SNX7
1078156,EED,USP21
1078157,EED,CEP170B
1078158,EED,SLC35G1
1078159,EED,GMFB
1078160,EED,CLIP1
1078161,EED,MDGA1
1078162,EED,WASHC5
1078163,EED,VCP
1078164,EED,NDUFS1
1078165,EED,MACF1
1078166,XPOT,EED
1078167,EED,USP9X
1078168,EED,SCYL1
1078169,EED,FKBP1C
1078170,EED,ASCC3
1078171,TOM1,EED
1078172,EED,PTGES3
1078173,EED,CDC42BPB
1078174,EED,VAT1
1078175,EED,PCNT
1078176,EED,ASNS
1078177,EED,NAP1L1
1078178,EED,DIS3
1078179,EED,CARM1
1078180,EED,ATP6V0D1
1078181,EED,TRIO
1078182,EED,GLDC
1078183,EED,RNF10
1078184,EED,COPB1
1078185,EED,RPS9
1078186,EED,ATP5MF
1078187,EED,RPL26
1078188,EED,TBC1D17
1078189,EED,CIP2A
1078190,EED,BAX
1078191,EED,RPS5
1078192,EED,STXBP2
1078193,EED,AS3MT
1078194,EED,TTLL12
1078195,EED,CKAP4
1078196,EED,NSF
1078197,EED,PSAT1
1078198,EED,CAPNS1
1078199,EED,MARK2
1078200,EED,PHF5A
1078201,EED,CROCC
1078202,EED,CORO1B
1078203,EED,ATP6V0C
1078204,CEP290,EED
1078205,EED,OBSCN
1078206,EED,MAGOH
1078207,EED,RAP1B
1078208,EED,UQCRC2
1078209,EED,GALK1
1078210,EED,SEC11A
1078211,AP1G1,EED
1078212,EED,RHPN2
1078213,EED,LRRFIP2
1078214,EED,ARHGDIA
1078215,EED,AARS1
1078216,DNM1L,EED
1078217,EED,THOP1
1078218,EED,RAB18
1078219,EED,NCKAP1
1078220,EED,CAPN6
1078221,EED,PRDX2
1078222,EED,GNB2
1078223,EED,RAI14
1078224,EED,PLGRKT
1078225,EED,GNAI2
1078226,EED,RPL36
1078227,EED,ATP2A2
1078228,EED,UBA1
1078229,EED,CAPN2
1078230,EED,UBE2M
1078231,EED,XPNPEP1
1078232,EED,EPS15L1
1078233,EED,APRT
1078234,EED,COTL1
1078235,PDLIM1,EED
1078236,EED,SEC23A
1078237,EED,MAD2L1
1078238,EED,MAPK1
1078239,EED,ATP5MD
1078240,EED,FN1
1078241,EED,EZR
1078242,EED,MVP
1078243,HIP1,EED
1078244,EED,IGHM
1078245,EED,MTCH2
1078246,EED,SAR1B
1078247,SNX2,EED
1078248,EED,RHOT1
1078249,EED,RRAS2
1078250,EED,RAB31
1078251,EED,LGALS1
1078252,EED,VPS29
1078253,EED,ATP5ME
1078254,EED,NUP88
1078255,EED,ATXN10
1078256,EED,HSPH1
1078257,EED,NIBAN2
1078258,EED,DTYMK
1078259,EED,ARF6
1078260,EED,TBC1D15
1078261,EED,LRRC40
1078262,EED,AFDN
1078263,ARPC5,EED
1078264,EED,STON2
1078265,EED,CYFIP1
1078266,EED,ARL8B
1078267,EED,ATP1A1
1078268,EED,EPN2
1078269,NDUFA4,EED
1078270,EED,PPM-type phosphatase domain-containing protein
1078271,EED,PDXDC1
1078272,SIPA1L1,EED
1078273,EED,GFPT1
1078274,UQCRQ,EED
1078275,EED,ATP6V0A1
1078276,EED,EHD1
1078277,EED,IPO9
1078278,EED,CSE1L
1078279,EED,RPL38
1078280,EED,ACLY
1078281,YKT6,EED
1078282,EED,FABP3
1078283,EED,RPS13
1078284,EED,ATIC
1078285,EED,RPL32
1078286,EED,RARS1
1078287,EED,GART
1078288,EED,IPO4
1078289,WDR1,EED
1078290,PLEKHG3,EED
1078291,EED,COPG1
1078292,EED,CTNNA1
1078293,EED,ARPC4
1078294,EED,TLN1
1078295,EED,PRDX1
1078296,EED,TNPO1
1078297,EED,H2BC5
1078298,EED,MYO19
1078299,EED,TPT1
1078300,EED,TPM3
1078301,EED,AP2S1
1078302,EED,FXR1
1078303,IPO5,EED
1078304,EED,ARF3
1078305,EED,CLINT1
1078306,EED,TJP1
1078307,EED,DAPK1
1078308,PIK3C2A,EED
1078309,EED,NEXN
1078310,EED,IQGAP1
1078311,EED,FLII
1078312,EED,AP2M1
1078313,EED,PLS3
1078314,EED,CALM1
1078315,EED,CALM2
1078316,EED,CALM3
1078317,EED,AP2B1
1078318,EED,SVIL
1078319,MEF2C,AGO2
1078320,ISG15,USP5
1078321,ID3,COPS7A
1078322,NEURL1,NEURL1
1078323,PSAP,SEMA4A
1078324,OPTN,SEMA4A
1078325,RAB11A,SEMA4A
1078326,RLBP1,SEMA4A
1078327,RBP1,SEMA4A
1078328,HCN3,KCTD3
1078329,PEX5L,HCN3
1078330,RAD17,PIK3CB
1078331,PSEN1,SEC61A1
1078332,DLG4,SH3KBP1
1078333,DRD2,SH3KBP1
1078334,DRD2,SH3GL2
1078335,DRD2,DLG4
1078336,PRKCZ,LIMD1
1078337,MYL1,TRIM63
1078338,SNAPIN,CSNK1A1
1078339,UBE2A,H2BC18
1078340,UBE2B,H2BC18
1078341,AXIN1,PIAS2
1078342,AXIN1,MAP2K1
1078343,H3-3B,KMT2B
1078344,H3-2,KMT2B
1078345,PPP2R1A,UNC5B
1078346,OTUD4,BAP1
1078347,PRKCA,BAP1
1078348,PIP5K1C,BAP1
1078349,NTRK1,COQ10A
1078350,UBE2L5,WWP2
1078351,CDK4,H1-5
1078352,UBE2L5,PRKN
1078353,UBE2D1,TRIM71
1078354,PXN,MAP2K1
1078355,PKD2,WWTR1
1078356,CUL1,WWTR1
1078357,PKD2,CUL1
1078358,PKD2,BTRC
1078359,CTDNEP1,LPIN2
1078360,HTRA2,DIAPH1
1078361,HIF1A,SENP1
1078362,ZNF821,KIFAP3
1078363,TCF3,TCF15
1078364,UBC,PELI3
1078365,CYS1,NDN
1078366,TRAPPC2B,TRAPPC9
1078367,TRAPPC2B,TRAPPC8
1078368,H2AC20,CHFR
1078369,H2BC11,CHFR
1078370,PSIP1,H2AX
1078371,H2AX,SRRM2
1078372,H2AX,HSPA2
1078373,UBC,TBX5
1078374,UBC,NKX2-5
1078375,PARP1,OTUD5
1078376,HTR6,RHEB
1078377,GRSF1,USE1
1078378,ANXA2,HLTF
1078379,S100A10,AHNAK2
1078380,FBXO32,HDAC6
1078381,PIAS2,UXT
1078382,TICAM1,PARP12
1078383,ABL1,PPARG
1078384,RCC1,UHRF1
1078385,TOP2B,UHRF1
1078386,UHRF1,SUPT16H
1078387,ITGB1,TRAF6
1078388,TUBB4A,UNK
1078389,H3-2,UNK
1078390,MTA2,KLF5
1078391,XPO1,FH
1078392,TDG,LEF1
1078393,TCF7,LEF1
1078394,SYN1,SH3GL3
1078395,GTF2H3,ATF7IP
1078396,STK38,KAT5
1078397,KAT5,SUN2
1078398,H2BC18,KAT5
1078399,HSPA8,KAT5
1078400,KAT5,LIMA1
1078401,RPS18,KAT5
1078402,TUBB,KAT5
1078403,TUBA1A,KAT5
1078404,RANGAP1,KAT5
1078405,SPTAN1,KAT5
1078406,SETX,KAT5
1078407,SF3B1,KAT5
1078408,SFPQ,KAT5
1078409,RAB5C,KAT5
1078410,KAT5,LRRFIP2
1078411,STAT2,KAT5
1078412,TPR,KAT5
1078413,SPTBN1,KAT5
1078414,FLNA,KAT5
1078415,HDX,KAT5
1078416,EP400,HDAC6
1078417,MOS,KLC3
1078418,CDC27,FMR1
1078419,UVRAG,RUVBL2
1078420,XRCC5,UVRAG
1078421,ATP1A1,UVRAG
1078422,PRKDC,UVRAG
1078423,SLC25A5,UVRAG
1078424,ATAD3A,UVRAG
1078425,XRCC6,UVRAG
1078426,EEF2,UVRAG
1078427,HNRNPM,UVRAG
1078428,CCT3,UVRAG
1078429,PRDX2,UVRAG
1078430,IRS4,UVRAG
1078431,ATP5F1A,UVRAG
1078432,EEF1A2,UVRAG
1078433,RCN2,UVRAG
1078434,ATP5F1B,UVRAG
1078435,MSH6,UVRAG
1078436,MDH2,UVRAG
1078437,TRIM21,UVRAG
1078438,HNRNPF,UVRAG
1078439,FUS,UVRAG
1078440,EEF1A1,UVRAG
1078441,SLC25A3,UVRAG
1078442,NUP93,UVRAG
1078443,PKM,UVRAG
1078444,UGGT1,UVRAG
1078445,SSR1,UVRAG
1078446,AK2,UVRAG
1078447,NME1,UVRAG
1078448,TRIP13,UVRAG
1078449,TCP1,UVRAG
1078450,PLEKHG5,AMOT
1078451,AMOT,MPP6
1078452,FLNA,AMOT
1078453,PTPN13,AMOT
1078454,MPDZ,PLEKHG5
1078455,PLEKHG5,LIN7C
1078456,MYO1C,PLEKHG5
1078457,PLEKHG5,ACTG1
1078458,PLEKHG5,AMOTL1
1078459,PLEKHG5,AMOTL2
1078460,CCT2,ELF5
1078461,CCT8,ELF5
1078462,ELF5,SMC3
1078463,DDB1,ELF5
1078464,DHX9,ELF5
1078465,EOMES,ELF5
1078466,WDR5,ELF5
1078467,HSPA5,ELF5
1078468,HCFC1,ELF5
1078469,HIRA,ELF5
1078470,HSPA9,ELF5
1078471,ILF3,ELF5
1078472,EIF6,ELF5
1078473,MBD3,ELF5
1078474,MKI67,ELF5
1078475,MAP1B,ELF5
1078476,ELF5,MYO5A
1078477,ELF5,INTS6
1078478,PNN,ELF5
1078479,RFC1,ELF5
1078480,RPL10A,ELF5
1078481,RPL19,ELF5
1078482,RPL28,ELF5
1078483,RPL30,ELF5
1078484,POLR2A,ELF5
1078485,RPS15,ELF5
1078486,SART1,ELF5
1078487,SIN3A,ELF5
1078488,SNRPC,ELF5
1078489,SNRPB,ELF5
1078490,BPTF,ELF5
1078491,ZNF143,ELF5
1078492,INTS9,ELF5
1078493,TOP1,ELF5
1078494,TOP2B,ELF5
1078495,UBP1,ELF5
1078496,YY1,ELF5
1078497,ELF5,ZNF281
1078498,EMSY,ELF5
1078499,GRHL2,ELF5
1078500,GTF3C4,ELF5
1078501,RPL13,ELF5
1078502,RPL3,ELF5
1078503,GTSE1,ELF5
1078504,IQGAP1,ELF5
1078505,ELF5,IGF2BP2
1078506,CHD7,ELF5
1078507,L1TD1,ELF5
1078508,H1-2,ELF5
1078509,SUZ12,ELF5
1078510,PRPF40A,ELF5
1078511,RBM14,ELF5
1078512,AKAP8,ELF5
1078513,SND1,ELF5
1078514,HIC2,ELF5
1078515,RPL15,ELF5
1078516,SNRNP40,ELF5
1078517,RBM25,ELF5
1078518,EIF2S2,ELF5
1078519,FLNC,ELF5
1078520,INTS14,ELF5
1078521,ZCCHC8,ELF5
1078522,INTS10,ELF5
1078523,INTS13,ELF5
1078524,MTREX,ELF5
1078525,ZMYM2,ELF5
1078526,ZC3H18,ELF5
1078527,INTS7,ELF5
1078528,EHMT1,ELF5
1078529,ZNF687,ELF5
1078530,SMARCA5,ELF5
1078531,KDM1A,ELF5
1078532,EOMES,TFAP2C
1078533,OTX2,BASP1
1078534,OTX2,CDK13
1078535,OTX2,CGGBP1
1078536,OTX2,RTRAF
1078537,OTX2,DDX17
1078538,DDX5,OTX2
1078539,OTX2,DIDO1
1078540,OTX2,EWSR1
1078541,FGF2,OTX2
1078542,OTX2,GTF2B
1078543,OTX2,KAT8
1078544,OTX2,KHDRBS1
1078545,OTX2,LANCL2
1078546,OTX2,NFIX
1078547,OTX2,RBBP4
1078548,OTX2,RORB
1078549,SFPQ,OTX2
1078550,OTX2,TMPO
1078551,OTX2,TRIP12
1078552,ZNF22,OTX2
1078553,OTX2,ZNF385A
1078554,OTX2,ZNF48
1078555,OTX2,ZNF512
1078556,OTX2,ZNF638
1078557,OTX2,ZSCAN26
1078558,LUC7L3,OTX2
1078559,OTX2,NXF1
1078560,OTX2,PCBP1
1078561,PSIP1,OTX2
1078562,OTX2,SARNP
1078563,U2AF2,OTX2
1078564,OTX2,EEF1A1
1078565,OTX2,RPS21
1078566,OTX2,RPL3
1078567,OTX2,RPL38
1078568,OTX2,RPL6
1078569,OTX2,RPL8
1078570,SPP1,BCL6
1078571,ESRRB,SOX2
1078572,OGT,SOX2
1078573,JARID2,PRDM14
1078574,APOBEC3H,DND1
1078575,LRP2,DYNC1I2
1078576,BUB1B,LMO2
1078577,LMO2,MCM6
1078578,LMO2,APPL2
1078579,LMO2,FLII
1078580,LMO2,HIPK2
1078581,LMO2,KARS1
1078582,LMO2,KMT2B
1078583,LMO2,NSUN2
1078584,LMO2,POLD1
1078585,LMO2,PSMC1
1078586,LMO2,PSME3
1078587,LMO2,TAF6L
1078588,LMO2,NDUFA8
1078589,KAT7,LMO2
1078590,LMO2,RAI1
1078591,LMO2,RNASE12
1078592,LMO2,KMT5A
1078593,LMO2,TAB2
1078594,TUBG1,LMO2
1078595,LMO2,UHRF1
1078596,LMO2,ATP5F1C
1078597,LMO2,PCK1
1078598,LMO2,ZNF106
1078599,LMO2,APPBP2
1078600,LMO2,CACTIN
1078601,CAPN15,LMO2
1078602,LMO2,CAPZA2
1078603,CCNA2,LMO2
1078604,LMO2,CDK9
1078605,LMO2,CXXC1
1078606,LMO2,EGLN2
1078607,LMO2,MYL6
1078608,WDR46,LMO2
1078609,LMO2,ATG2A
1078610,LMO2,B4GALNT1
1078611,LMO2,CKAP2L
1078612,LMO2,DENND5A
1078613,LMO2,HYOU1
1078614,LMO2,ITM2B
1078615,LIAS,LMO2
1078616,MPO,LMO2
1078617,LMO2,PITRM1
1078618,LMO2,RPS11
1078619,LMO2,DRG1
1078620,LMO2,TUSC1
1078621,LMO2,BAZ1A
1078622,ADAP1,LMO2
1078623,RC3H1,RC3H1
1078624,PRKAA1,RC3H1
1078625,NACA,NSMCE2
1078626,NACA,NSMCE2
1078627,RNASE1,RCC2
1078628,RNASE1,ARHGDIA
1078629,TBRG1,KAT5
1078630,AURKA,CTTN
1078631,MEN1,NR5A1
1078632,MEN1,RNF20
1078633,IL1B,TNFAIP3
1078634,IL1B,RIPK1
1078635,IL1B,RIPK3
1078636,MYCBP2,RANGAP1
1078637,TRAF3,CREBBP
1078638,CREB1,TRAF2
1078639,TGFBR2,NPHS2
1078640,C1QBP,NPHS2
1078641,NOTCH2,NPHS2
1078642,PTPRF,NPHS2
1078643,AXL,NPHS2
1078644,STEAP2,NPHS2
1078645,PLXNB2,NPHS2
1078646,NPHS2,MYOF
1078647,PTPRK,NPHS2
1078648,TFRC,NPHS2
1078649,ATP2A2,NPHS2
1078650,UNC5B,NPHS2
1078651,LBR,NPHS2
1078652,DNAJB6,NPHS2
1078653,SLC25A4,NPHS2
1078654,IGF1R,NPHS2
1078655,TMEM176B,NPHS2
1078656,ARF4,NPHS2
1078657,ERBB2,NPHS2
1078658,SLC20A1,NPHS2
1078659,BAG2,NPHS2
1078660,FAT1,NPHS2
1078661,ATP5F1C,NPHS2
1078662,UBR4,NPHS2
1078663,SLC25A5,NPHS2
1078664,SLC25A24,NPHS2
1078665,RPS18,NPHS2
1078666,ERLIN2,NPHS2
1078667,NPHS2,VAPA
1078668,PPA2,NPHS2
1078669,NPHS2,SEPTIN9
1078670,DCTN2,NPHS2
1078671,BICD2,NPHS2
1078672,DCTN3,NPHS2
1078673,NEK9,NPHS2
1078674,VAC14,NPHS2
1078675,PKD2,NPHS2
1078676,PPA1,NPHS2
1078677,NPHS2,ITM2B
1078678,AKAP1,NPHS2
1078679,NDUFA4,NPHS2
1078680,TUBB2B,NPHS2
1078681,SLC25A12,NPHS2
1078682,TUFM,NPHS2
1078683,RHPN1,NPHS2
1078684,NPHS2,SEPTIN11
1078685,DLD,NPHS2
1078686,KANK2,NPHS2
1078687,NPHS2,SLC25A13
1078688,ENAH,TRIM9
1078689,TRAF3,MYSM1
1078690,MYSM1,TRAF6
1078691,MYSM1,H2AC18
1078692,H2AC18,KAT2B
1078693,LCLAT1,FBXO28
1078694,LCLAT1,HDAC2
1078695,CHRNA3,STUB1
1078696,LMAN1,UBXN2A
1078697,IRF7,TRIM35
1078698,GADD45A,SMAD4
1078699,DOK3,TRAF6
1078700,TLR3,GSK3B
1078701,GSK3B,TAB1
1078702,GSK3B,TAB2
1078703,MEF2C,CDC20
1078704,MEF2C,FZR1
1078705,CHAF1A,PTGES3
1078706,CHAF1A,RTN1
1078707,CHAF1A,DNAJC9
1078708,ALDOC,CHAF1A
1078709,CHAF1A,SMARCAD1
1078710,CHAF1A,HUWE1
1078711,CHAF1A,SEC23A
1078712,AIFM1,CHAF1A
1078713,CHAF1A,USP9X
1078714,PPM1G,CHAF1A
1078715,CHAF1A,UBR4
1078716,CHAF1A,SEC23B
1078717,CHAF1A,WDR92
1078718,CHAF1A,ANAPC5
1078719,CHAF1A,REPS1
1078720,CHAF1A,CDC23
1078721,CHAF1A,GTF3C3
1078722,CHAF1A,RIF1
1078723,IPO7,CHAF1A
1078724,RANBP2,CHAF1A
1078725,CHAF1A,ZMYM2
1078726,CAND2,CHAF1A
1078727,CHAF1A,EML4
1078728,CHAF1A,WDR18
1078729,PPP1R12A,CHAF1A
1078730,CHAF1A,COPS5
1078731,CDC16,CHAF1A
1078732,CHAF1A,COPS3
1078733,CHAF1A,RCC2
1078734,CHAF1A,HSPBAP1
1078735,CHAF1A,COPS6
1078736,SNRNP200,CHAF1A
1078737,VAC14,CHAF1A
1078738,CHAF1A,PPP6R3
1078739,CHAF1A,MTA3
1078740,NRDC,CHAF1A
1078741,PPP6C,CHAF1A
1078742,GPS1,CHAF1A
1078743,CHAF1A,GATAD2A
1078744,CHAF1A,UXT
1078745,CHAF1A,PRPF8
1078746,CHAF1A,RCOR2
1078747,CHAF1A,HSPH1
1078748,CHAF1A,SBNO2
1078749,CHAF1A,EFTUD2
1078750,CHAF1A,COPS8
1078751,CHAF1A,STUB1
1078752,CHAF1A,LAS1L
1078753,CHAF1A,HEATR3
1078754,CHAF1A,MDN1
1078755,CDH1,CHAF1A
1078756,CHAF1A,NCKAP1
1078757,CHAF1A,SIN3A
1078758,MRE11,CHAF1A
1078759,GTF2E2,CHAF1A
1078760,NPM3,CHAF1A
1078761,EIF3E,CHAF1A
1078762,CHAF1A,EIF3L
1078763,CHAF1A,COPS4
1078764,CHAF1A,CAND1
1078765,EIF3B,CHAF1A
1078766,ANKRD17,CHAF1A
1078767,ANKRD28,CHAF1A
1078768,CHAF1A,RUVBL1
1078769,EIF3F,CHAF1A
1078770,CHAF1A,DDX20
1078771,EIF3H,CHAF1A
1078772,CHAF1A,RUVBL2
1078773,CHAF1A,TRIP12
1078774,PRPF6,CHAF1A
1078775,CHAF1A,FBXO15
1078776,EIF3G,CHAF1A
1078777,CHAF1A,TIMELESS
1078778,CHAF1A,SALL4
1078779,UBR5,CHAF1A
1078780,CPSF1,CHAF1A
1078781,AKAP12,CHAF1A
1078782,CHAF1A,EIF3M
1078783,CHAF1A,TSR1
1078784,CHAF1A,PELP1
1078785,EIF3D,CHAF1A
1078786,CHAF1A,EIF3A
1078787,AKAP8,CHAF1A
1078788,ULK1,CHAF1A
1078789,CHAF1A,PRRC2C
1078790,CTPS1,CHAF1A
1078791,USO1,CHAF1A
1078792,CHAF1A,MTA1
1078793,DAPK1,CHAF1A
1078794,CTNNA1,CHAF1A
1078795,ESRRB,CHAF1A
1078796,CHAF1A,SF3A1
1078797,SF3A3,CHAF1A
1078798,CHAF1A,SDE2
1078799,KAT7,CHAF1A
1078800,CAD,CHAF1A
1078801,HSPA8,CHAF1A
1078802,CHAF1A,EIF3K
1078803,ELP1,CHAF1A
1078804,CHAF1A,CYFIP1
1078805,PPP1CA,CHAF1A
1078806,MAVS,PYCARD
1078807,NOP56,CEBPA
1078808,CEBPA,PDCD11
1078809,MYH9,CEBPA
1078810,CEBPA,HP1BP3
1078811,CEBPA,NAT10
1078812,RPN2,CEBPA
1078813,CEBPA,NOP58
1078814,CEBPA,NOL6
1078815,CEBPA,ACIN1
1078816,CEBPA,DDX18
1078817,CEBPA,NOC2L
1078818,CEBPA,NUP93
1078819,CEBPA,MOGS
1078820,CEBPA,ZFR
